HOU,LAL
43,31
ORL,NOP
36,45
DAL,SAS
46,51
BRK,BOS
46,57
MIL,CHO
46,47
DET,DEN
37,36
PHI,IND
40,46
MIN,MEM
45,47
WAS,MIA
42,48
CHI,NYK
43,34
LAL,PHO
41,61
OKC,POR
35,50
GSW,SAC
39,27
ATL,TOR
53,45
HOU,UTA
54,41
NYK,CLE
43,41
UTA,DAL
50,55
OKC,LAC
34,41
DET,MIN
45,41
WAS,ORL
46,43
CLE,CHI
44,54
MEM,IND
42,42
LAC,LAL
46,49
PHI,MIL
37,45
SAS,PHO
40,37
POR,SAC
43,38
IND,ATL
43,42
MEM,CHO
32,30
BRK,DET
49,33
LAL,GSW
45,57
BOS,HOU
38,44
CHI,MIN
42,42
DAL,NOP
52,45
DEN,OKC
42,43
TOR,ORL
37,45
MIA,PHI
53,42
PHO,UTA
43,49
MIL,WAS
43,44
SAC,LAC
37,42
TOR,MIA
41,44
CHO,NYK
39,47
GSW,POR
42,44
OKC,BRK
40,55
BOS,DAL
56,58
SAC,DEN
36,41
UTA,LAC
46,51
NOP,MEM
33,35
HOU,PHI
48,44
ORL,CHI
44,42
MIL,IND
44,37
PHO,LAL
47,41
HOU,MIA
52,43
CHO,NOP
43,43
WAS,NYK
47,38
CLE,POR
40,45
OKC,TOR
40,40
TOR,BOS
49,50
MIN,BRK
44,44
MIA,CHO
34,40
NYK,DET
48,43
LAC,GSW
45,58
CHI,MIL
39,36
ORL,PHI
42,41
MEM,PHO
49,40
DEN,SAC
46,50
ATL,SAS
46,36
CLE,UTA
36,46
IND,WAS
43,41
SAS,HOU
33,44
DAL,POR
38,52
IND,BOS
45,48
NYK,BRK
45,52
ATL,CHO
56,54
CLE,DEN
46,51
MIL,DET
41,48
MEM,OKC
43,49
MIN,ORL
44,51
CHI,PHI
52,55
SAC,PHO
42,52
WAS,TOR
33,44
DAL,UTA
51,38
NYK,ATL
48,42
BOS,CHI
49,50
GSW,HOU
48,40
WAS,IND
41,41
POR,LAC
46,45
MIN,MIA
39,46
MEM,MIL
32,45
NOP,SAS
48,41
ORL,BRK
47,44
MIA,DAL
51,44
UTA,DET
39,42
CHO,LAL
38,48
SAC,OKC
42,42
GSW,PHO
44,46
DEN,POR
41,61
PHI,TOR
43,50
DET,CHI
41,46
NOP,CLE
53,53
UTA,IND
38,45
SAS,LAC
35,38
ATL,NYK
37,42
SAC,DAL
41,48
SAS,GSW
56,45
LAL,MEM
48,45
OKC,MIL
35,36
CHO,POR
42,48
ORL,TOR
51,44
UTA,ATL
48,48
OKC,BOS
50,46
POR,DEN
61,47
IND,MIA
38,38
HOU,MIN
56,42
LAL,NOP
42,53
ORL,NYK
39,45
BRK,PHO
44,47
DET,WAS
47,43
PHI,DAL
30,52
BRK,GSW
42,52
SAC,MEM
44,45
CHI,TOR
41,43
MIA,ATL
45,53
CLE,BOS
51,54
PHI,HOU
41,36
DEN,IND
51,42
SAS,LAL
43,30
MIN,NOP
32,71
UTA,NYK
46,44
DET,OKC
49,50
MIL,ORL
38,45
CHO,PHO
46,45
IND,CHI
44,39
ATL,CLE
43,68
MIN,DAL
50,60
CHO,GSW
39,56
PHO,LAC
49,50
DET,MEM
44,36
BRK,POR
36,44
SAS,SAC
41,37
UTA,TOR
38,51
ORL,WAS
44,45
GSW,LAL
60,42
MIL,MIA
40,41
DEN,NYK
45,47
