LAC,SAC
80,90
MIA,TOR
81,64
PHO,UTA
90,85
CHI,CLE
84,81
MIN,DAL
91,97
BRK,MEM
77,79
BOS,MIL
74,80
UTA,PHO
87,86
HOU,SAS
93,97
ATL,WAS
79,88
PHI,DET
83,92
IND,LAC
86,76
POR,LAL
85,90
CHA,MIA
74,80
NOP,NYK
86,81
MIN,OKC
83,107
GSW,SAC
99,89
DEN,TOR
98,78
NOP,CHI
111,104
IND,POR
87,77
ATL,SAS
95,90
HOU,UTA
89,96
ORL,WAS
63,75
MIL,BOS
82,87
DEN,BRK
93,62
CHA,DAL
63,74
TOR,GSW
88,92
PHO,MEM
81,97
DET,MIA
89,81
ORL,PHI
100,103
OKC,SAC
79,80
LAC,ATL
82,96
DEN,CLE
78,79
PHO,HOU
83,71
DET,MIL
73,81
DAL,NOP
85,83
OKC,POR
83,96
IND,UTA
83,70
NYK,BRK
104,62
MIA,CHI
70,84
LAC,MEM
87,61
CLE,ATL
81,102
DEN,BOS
74,92
PHI,CHA
80,88
GSW,HOU
56,80
OKC,NOP
85,69
ORL,NYK
70,105
TOR,PHO
75,83
UTA,POR
82,109
LAL,SAC
94,84
MIL,WAS
90,74
DET,CHI
80,63
LAC,CLE
63,66
GSW,MEM
96,64
BRK,MIL
73,67
MIA,MIN
90,53
DEN,PHI
77,83
DAL,POR
100,87
IND,SAS
85,95
SAC,UTA
81,80
MIA,DET
91,79
ORL,HOU
72,74
TOR,LAL
84,77
BOS,NYK
92,56
IND,OKC
75,99
GSW,CHA
93,92
ORL,MEM
66,82
LAC,PHI
75,69
DAL,SAC
79,85
POR,UTA
86,73
DEN,WAS
67,69
OKC,ATL
80,71
BOS,BRK
81,81
MIL,CHI
62,65
NYK,CLE
90,93
MIN,DET
93,86
MIA,IND
70,73
PHO,LAL
95,83
SAS,TOR
103,86
LAC,BOS
74,72
ORL,CHA
83,66
DAL,GSW
82,86
OKC,MEM
89,74
SAS,MIL
96,60
PHI,MIN
87,81
DET,NOP
89,85
CHI,NYK
54,67
UTA,SAC
109,74
LAC,BRK
58,74
HOU,POR
85,86
WAS,ATL
88,83
NYK,BOS
69,73
UTA,DEN
84,79
BRK,DET
84,81
HOU,GSW
90,92
CHA,IND
82,80
CHI,MIL
75,70
MEM,NOP
86,87
LAL,OKC
79,102
CLE,ORL
92,85
SAC,PHO
82,94
MIN,SAS
87,106
PHI,TOR
83,88
LAL,CHA
67,80
TOR,CHI
85,68
MIL,DAL
77,94
CLE,MIA
88,92
ATL,NYK
95,96
POR,PHI
125,87
SAS,UTA
90,76
LAC,WAS
87,83
NOP,DEN
81,81
POR,DET
89,91
MIN,MEM
82,79
ORL,OKC
81,83
GSW,PHO
79,83
HOU,SAC
69,81
LAL,ATL
83,101
MIN,BOS
82,83
PHI,BRK
82,115
ORL,CHI
71,61
DET,IND
83,76
SAS,LAC
80,89
UTA,MIA
83,96
WAS,NYK
89,77
SAC,CHA
64,78
POR,CLE
97,105
OKC,DEN
91,77
NOP,GSW
71,87
LAL,MEM
81,79
SAC,ATL
86,109
DET,BOS
92,86
WAS,BRK
88,87
MEM,DAL
82,85
CHI,HOU
81,96
NOP,LAC
81,77
IND,MIA
69,79
NYK,MIL
93,76
POR,MIN
94,99
UTA,ORL
74,63
SAS,PHO
89,83
CHA,TOR
82,88
SAS,GSW
91,92
CHI,OKC
66,95
UTA,ATL
73,100
MIL,CLE
90,89
TOR,DAL
95,102
PHO,DEN
82,74
CHA,DET
91,96
HOU,IND
68,98
MIN,LAL
71,91
SAC,MIA
93,112
BRK,PHI
99,111
WAS,BOS
90,88
UTA,CHA
74,74
CLE,CHI
76,84
HOU,DET
97,81
LAL,GSW
56,88
DEN,LAC
68,91
PHI,MIL
86,93
MEM,NYK
79,72
SAC,ORL
90,86
DAL,PHO
91,103
NOP,POR
94,94
OKC,SAS
98,79
BOS,IND
70,91
MIN,LAC
96,99
TOR,OKC
80,63
IND,BRK
85,64
MIL,CHA
94,96
DET,CLE
102,76
GSW,DEN
79,65
DAL,HOU
91,83
UTA,MEM
81,89
ATL,MIA
105,102
NYK,ORL
88,82
LAL,PHO
66,98
NOP,SAC
90,69
TOR,SAS
81,91
CHI,BRK
77,55
LAC,GSW
84,90
MIA,LAL
91,80
OKC,NYK
103,82
HOU,SAS
102,79
ATL,CLE
113,106
SAS,DAL
81,83
MEM,HOU
81,67
LAC,POR
106,97
MIL,BRK
75,80
OKC,CHA
74,69
PHO,GSW
68,98
WAS,MIN
84,89
DEN,NOP
72,95
TOR,NYK
72,70
DET,ORL
83,94
MIA,SAC
87,87
LAL,UTA
87,89
CHA,ATL
100,90
CLE,BOS
83,85
DAL,CHI
95,67
NOP,HOU
92,82
BRK,IND
80,84
UTA,LAC
71,73
DEN,MEM
76,102
MIN,MIL
97,85
PHI,PHO
85,97
MIA,POR
98,89
NYK,TOR
85,87
DET,WAS
69,95
GSW,CLE
94,86
PHI,LAL
84,74
HOU,OKC
69,104
ATL,ORL
87,90
SAC,SAS
89,96
MIA,DEN
79,84
WAS,DET
85,78
PHO,LAC
94,69
CHI,MEM
62,70
DAL,MIN
88,78
POR,NOP
90,98
CHA,UTA
69,76
ATL,BOS
71,75
TOR,CHI
62,62
SAC,HOU
91,85
CLE,IND
59,73
MIL,LAL
86,65
POR,OKC
80,75
GSW,ORL
88,73
BRK,SAS
79,89
PHI,DEN
95,77
CHA,LAC
64,105
NOP,MIN
96,96
IND,TOR
69,75
DAL,WAS
66,71
BOS,CHI
66,72
ORL,CLE
71,70
GSW,MIA
107,88
BRK,OKC
71,77
MEM,PHO
91,82
CHA,POR
75,129
PHI,SAC
89,77
NYK,SAS
87,88
MIL,UTA
76,79
GSW,ATL
84,84
NOP,BOS
78,69
LAC,DAL
89,102
MEM,DEN
79,95
NYK,HOU
83,78
UTA,LAL
84,94
TOR,WAS
91,72
CLE,BRK
68,70
ATL,CHI
72,72
NOP,IND
65,85
OKC,MIN
88,93
MIA,ORL
86,74
MIL,PHO
84,94
PHI,POR
84,75
CHA,SAC
99,90
LAC,SAS
77,104
IND,CLE
64,60
NYK,DAL
79,70
MEM,DET
94,74
DEN,LAL
118,87
TOR,MIA
85,79
BOS,OKC
81,95
GSW,WAS
95,80
ATL,BRK
62,74
ORL,LAC
67,81
MIN,PHI
108,84
WAS,CHA
85,68
PHO,CHI
72,78
PHI,CLE
72,101
LAL,DAL
79,101
BOS,DEN
74,100
TOR,IND
65,65
SAS,MEM
93,98
NOP,MIA
75,89
GSW,MIL
88,67
DET,NYK
67,75
POR,SAC
88,87
OKC,UTA
76,88
IND,ATL
79,78
GSW,BRK
81,73
LAL,HOU
79,85
BOS,LAC
83,83
PHO,MIN
87,74
WAS,NOP
86,74
ORL,POR
73,99
DAL,SAS
85,89
DET,TOR
72,81
OKC,DEN
66,88
MIA,NYK
81,97
HOU,ATL
64,73
MIA,BRK
74,87
BOS,GSW
83,84
WAS,IND
57,80
LAL,LAC
62,97
PHO,MEM
87,90
CHI,MIL
54,63
CHA,MIN
82,105
DAL,NOP
96,75
DET,PHI
91,90
ORL,SAC
60,85
CLE,UTA
97,87
CHA,CHI
78,82
NOP,DAL
82,71
ORL,DEN
78,100
PHO,DET
87,91
MIL,OKC
76,80
NYK,PHI
84,77
BOS,POR
92,90
BRK,TOR
68,75
HOU,WAS
84,85
ATL,MEM
85,92
CLE,SAC
69,99
MIN,SAS
71,93
HOU,BOS
82,79
WAS,CHI
85,77
ORL,DAL
75,93
SAS,NOP
75,83
PHO,NYK
73,77
MIL,TOR
79,92
DEN,UTA
81,96
NYK,CHA
84,82
SAC,IND
82,96
CLE,LAL
95,101
OKC,MEM
71,68
TOR,BOS
71,62
DEN,GSW
102,87
DAL,LAC
114,101
MEM,MIL
71,68
SAC,MIN
95,86
HOU,NOP
78,78
CHI,ORL
108,112
CHA,PHI
75,84
LAL,PHO
92,102
CLE,POR
84,95
UTA,SAS
92,93
MIA,WAS
81,92
BRK,ATL
122,88
OKC,HOU
82,78
NYK,IND
72,96
LAL,BOS
86,95
CLE,DEN
89,94
UTA,DET
95,68
SAC,MEM
71,78
LAC,NYK
74,65
GSW,OKC
102,103
CHA,ORL
85,86
MIA,PHI
84,64
DAL,PHO
97,91
POR,SAS
90,84
MIN,TOR
75,79
CHI,WAS
79,86
MIA,CHA
85,79
PHI,CHI
70,86
POR,DAL
101,91
MIL,HOU
91,89
LAC,IND
71,85
UTA,MIN
49,78
GSW,NOP
80,66
DET,WAS
86,82
SAC,OKC
71,87
BOS,ORL
69,64
DEN,PHO
81,100
MIL,SAS
72,97
LAL,TOR
86,97
MIA,ATL
91,96
TOR,CHA
88,73
LAL,CHI
78,85
DAL,CLE
80,71
LAC,DET
89,82
IND,GSW
90,80
POR,HOU
96,106
NOP,MEM
75,69
BRK,NYK
88,56
PHI,WAS
78,79
ORL,BRK
73,90
BOS,MIA
71,81
SAC,NOP
93,71
POR,OKC
87,94
MIN,UTA
90,87
LAC,CHA
84,83
CHI,CLE
84,74
SAC,HOU
80,94
DET,MIL
76,90
PHI,NYK
93,89
ATL,ORL
91,88
IND,PHO
81,101
OKC,SAS
100,90
DAL,TOR
75,71
BOS,WAS
97,91
LAL,MIA
89,98
DEN,POR
88,80
SAS,ATL
93,60
OKC,BOS
91,69
DAL,BRK
78,84
LAC,CHI
95,86
MIL,CLE
67,78
NOP,DET
81,80
MIN,GSW
103,107
MEM,HOU
76,78
CHA,NYK
84,114
LAL,ORL
94,87
TOR,PHI
88,82
WAS,PHO
84,75
IND,SAC
90,90
CHI,CHA
73,80
IND,DEN
79,88
HOU,MEM
69,89
ATL,MIL
93,81
OKC,PHI
84,72
MIN,POR
85,96
LAC,TOR
104,86
WAS,UTA
85,86
BRK,BOS
72,63
PHO,CLE
77,73
DET,DAL
90,93
POR,GSW
62,86
SAS,MIA
82,94
ORL,NOP
75,79
LAL,NYK
89,97
DEN,SAC
94,88
TOR,BRK
83,85
MIN,CHI
73,72
LAC,MIL
100,72
ATL,OKC
98,99
PHO,PHI
95,88
SAC,UTA
79,71
NOP,CLE
82,72
ORL,DET
72,84
WAS,GSW
78,67
SAS,HOU
76,71
IND,LAL
89,79
BOS,NYK
70,98
MEM,POR
92,64
PHI,BOS
81,71
HOU,DAL
91,85
CHA,DEN
71,87
WAS,LAC
93,78
OKC,MIA
98,77
PHO,MIL
96,83
NOP,MIN
60,70
MEM,SAC
86,81
CHI,SAS
78,71
ORL,TOR
62,88
LAC,GSW
70,96
PHO,IND
86,77
CLE,NYK
70,98
OKC,BRK
103,81
SAC,DAL
83,78
TOR,DEN
82,80
CHA,LAL
94,78
MEM,MIN
80,84
MIL,ORL
88,93
ATL,PHI
98,70
GSW,UTA
76,73
MIN,ATL
80,95
PHI,DET
81,89
CLE,HOU
84,89
BRK,IND
75,65
UTA,LAC
68,78
MIL,MEM
69,82
CHI,NOP
57,80
MIA,NYK
90,77
CHA,PHO
74,85
TOR,POR
86,78
SAC,SAS
73,78
OKC,WAS
66,90
ORL,BOS
71,86
PHI,BRK
82,74
CLE,DAL
82,100
LAC,DEN
90,85
ORL,IND
73,84
DET,MIA
74,85
NYK,MIL
83,83
SAS,NOP
81,78
MEM,OKC
66,72
CHI,SAC
48,74
TOR,UTA
80,67
POR,WAS
79,81
IND,ATL
73,73
CHA,GSW
79,62
LAL,MIN
76,82
CHI,PHO
76,70
LAL,CLE
102,81
MIL,DEN
79,88
PHO,HOU
92,89
MIA,LAC
95,81
DAL,MEM
92,80
ATL,NOP
90,85
POR,NYK
68,76
MIN,OKC
80,98
DET,ORL
84,94
BOS,PHI
90,91
TOR,SAC
82,68
SAS,WAS
105,93
SAS,BRK
65,96
CHI,GSW
68,91
SAC,BOS
67,89
UTA,DAL
74,86
BRK,DET
76,95
POR,IND
97,89
TOR,LAC
75,81
MIN,NOP
60,86
DEN,NYK
71,107
OKC,ORL
84,81
LAL,PHI
98,89
CLE,WAS
86,97
MEM,ATL
78,68
SAS,CHA
80,84
DEN,DET
97,108
HOU,MIL
92,86
POR,MIN
88,85
GSW,PHO
90,97
MIA,UTA
65,82
DAL,BOS
84,77
NOP,BRK
66,76
MEM,CLE
69,80
PHI,LAC
57,109
CHI,LAL
75,78
NYK,OKC
85,92
IND,ORL
81,73
SAC,WAS
60,76
SAS,DET
91,91
PHI,GSW
68,98
DEN,IND
62,96
BOS,MIL
91,68
HOU,MIN
89,68
NOP,TOR
84,82
DAL,CHA
79,102
ATL,CHI
80,94
SAC,CLE
76,94
UTA,LAL
80,70
WAS,MEM
75,69
MIA,PHO
81,82
OKC,POR
87,71
SAS,BOS
91,80
CHA,BRK
82,93
CLE,DET
73,70
MIA,GSW
94,89
WAS,HOU
104,78
DAL,IND
65,61
POR,LAC
99,96
NOP,MIL
88,84
DEN,MIN
75,102
SAC,NYK
90,91
MEM,ORL
74,72
ATL,TOR
64,87
PHI,UTA
82,77
BRK,CHI
57,74
OKC,LAL
86,90
MIA,DAL
98,77
PHO,DEN
81,81
CHA,DET
85,83
ATL,IND
86,87
SAS,LAC
97,76
NYK,MEM
76,80
ORL,MIL
91,82
CLE,PHI
86,67
TOR,WAS
91,80
WAS,ATL
105,72
DET,CHA
84,92
ORL,CLE
76,71
HOU,LAL
122,96
IND,MIN
76,86
